tempo_s,x,y,z
2025-04-24T19:59:06.729394,0.0099,0.1554,0.9887
2025-04-24T19:59:06.772101,0.0088,0.154,0.9878
2025-04-24T19:59:06.823453,0.0094,0.1555,0.9893
2025-04-24T19:59:06.874481,0.01,0.1563,0.9888
2025-04-24T19:59:06.929204,0.0086,0.1546,0.9893
2025-04-24T19:59:06.977098,0.0109,0.1541,0.9891
2025-04-24T19:59:07.027271,0.0099,0.1546,0.9891
2025-04-24T19:59:07.078763,0.0083,0.1557,0.9877
2025-04-24T19:59:07.140223,0.0098,0.1544,0.9868
2025-04-24T19:59:07.190022,0.0099,0.1541,0.9885
2025-04-24T19:59:07.231218,0.0083,0.1559,0.9878
2025-04-24T19:59:07.291524,0.0114,0.156,0.9867
2025-04-24T19:59:07.333204,0.0088,0.1551,0.9881
2025-04-24T19:59:07.385306,0.0083,0.1549,0.9869
2025-04-24T19:59:07.435166,0.0097,0.1558,0.9863
2025-04-24T19:59:07.491413,0.0079,0.1545,0.9879
2025-04-24T19:59:07.537240,0.0097,0.1549,0.989
2025-04-24T19:59:07.590846,0.0099,0.1561,0.9883
2025-04-24T19:59:07.639286,0.0086,0.1555,0.9883
2025-04-24T19:59:07.692932,0.0089,0.1546,0.9887
2025-04-24T19:59:07.741430,0.009,0.1551,0.9876
2025-04-24T19:59:07.797496,0.0088,0.1557,0.9876
2025-04-24T19:59:07.843397,0.0098,0.1544,0.9866
2025-04-24T19:59:07.908746,0.0093,0.1545,0.9875
2025-04-24T19:59:07.946388,0.0092,0.1556,0.987
2025-04-24T19:59:08.002287,0.0098,0.1542,0.9866
2025-04-24T19:59:08.064449,0.0085,0.1556,0.9887
2025-04-24T19:59:08.101182,0.0091,0.1554,0.9879
2025-04-24T19:59:08.150522,0.0105,0.1549,0.9865
2025-04-24T19:59:08.204164,0.0083,0.1548,0.9882
2025-04-24T19:59:08.253132,0.0098,0.1553,0.9877
2025-04-24T19:59:08.308236,0.0086,0.1556,0.9892
2025-04-24T19:59:08.356771,0.0085,0.1546,0.9869
2025-04-24T19:59:08.411452,0.0108,0.1552,0.9885
2025-04-24T19:59:08.457003,0.0075,0.1545,0.988
2025-04-24T19:59:08.510295,0.0095,0.1547,0.9892
2025-04-24T19:59:08.561000,0.0097,0.1557,0.9886
2025-04-24T19:59:08.615971,0.0081,0.1551,0.9898
2025-04-24T19:59:08.661870,0.0106,0.1548,0.989
2025-04-24T19:59:08.713595,0.0093,0.155,0.9886
2025-04-24T19:59:08.765088,0.0094,0.1547,0.987
2025-04-24T19:59:08.816669,0.0101,0.1541,0.9863
2025-04-24T19:59:08.863153,0.0092,0.155,0.9889
2025-04-24T19:59:08.921835,0.0108,0.1555,0.9893
2025-04-24T19:59:08.965264,0.0092,0.1552,0.9885
2025-04-24T19:59:09.023283,0.0099,0.1557,0.9897
2025-04-24T19:59:09.067145,0.0094,0.1548,0.9885
2025-04-24T19:59:09.124425,0.0086,0.1545,0.9865
2025-04-24T19:59:09.169437,0.0088,0.1545,0.9862
2025-04-24T19:59:09.225658,0.0107,0.1555,0.9877
2025-04-24T19:59:09.279871,0.0088,0.1554,0.9893
2025-04-24T19:59:09.331096,0.0086,0.1552,0.9895
2025-04-24T19:59:09.373660,0.0087,0.155,0.989
2025-04-24T19:59:09.433177,0.0088,0.1549,0.9867
2025-04-24T19:59:09.477963,0.0101,0.1543,0.987
2025-04-24T19:59:09.535390,0.0086,0.1549,0.9874
2025-04-24T19:59:09.577855,0.0102,0.1562,0.9889
2025-04-24T19:59:09.637748,0.0092,0.1546,0.988
2025-04-24T19:59:09.680185,0.009,0.1545,0.9886
2025-04-24T19:59:09.737769,0.0098,0.1554,0.9883
2025-04-24T19:59:09.782826,0.0098,0.1548,0.9871
2025-04-24T19:59:09.832197,0.0102,0.1547,0.9881
2025-04-24T19:59:09.893350,0.0094,0.1546,0.987
2025-04-24T19:59:09.936848,0.0092,0.1551,0.9894
2025-04-24T19:59:09.986466,0.0105,0.1547,0.9873
2025-04-24T19:59:10.036498,0.0082,0.1541,0.9867
2025-04-24T19:59:10.088809,0.0092,0.1565,0.987
2025-04-24T19:59:10.138739,0.0099,0.1548,0.9872
2025-04-24T19:59:10.198411,0.0084,0.1553,0.9892
2025-04-24T19:59:10.241088,0.0096,0.1552,0.9891
2025-04-24T19:59:10.292903,0.01,0.1545,0.9879
2025-04-24T19:59:10.342916,0.0079,0.1539,0.988
2025-04-24T19:59:10.393646,0.0092,0.1554,0.9874
2025-04-24T19:59:10.444617,0.0089,0.1552,0.9869
2025-04-24T19:59:10.495685,0.0079,0.1549,0.9884
2025-04-24T19:59:10.556543,0.0101,0.1561,0.9896
2025-04-24T19:59:10.598290,0.0084,0.1552,0.989
2025-04-24T19:59:10.648889,0.0096,0.1545,0.9885
2025-04-24T19:59:10.704415,0.0091,0.1545,0.9879
2025-04-24T19:59:10.750206,0.0082,0.1558,0.988
2025-04-24T19:59:10.802247,0.01,0.1536,0.9891
2025-04-24T19:59:10.852458,0.0088,0.1552,0.9884
2025-04-24T19:59:10.908650,0.0088,0.156,0.9871
2025-04-24T19:59:10.956057,0.0102,0.1539,0.9878
2025-04-24T19:59:11.005097,0.0094,0.1553,0.9889
2025-04-24T19:59:11.057498,0.0096,0.1555,0.9874
2025-04-24T19:59:11.107149,0.0091,0.155,0.9877
2025-04-24T19:59:11.161745,0.0087,0.1545,0.9887
2025-04-24T19:59:11.209257,0.0102,0.156,0.9888
2025-04-24T19:59:11.260171,0.0093,0.1554,0.9881
2025-04-24T19:59:11.311165,0.0088,0.1539,0.9876
2025-04-24T19:59:11.362381,0.0097,0.1548,0.9865
2025-04-24T19:59:11.414004,0.0081,0.1563,0.9873
2025-04-24T19:59:11.465236,0.009,0.154,0.989
2025-04-24T19:59:11.516146,0.0094,0.1551,0.9888
2025-04-24T19:59:11.566686,0.0085,0.1555,0.9888
2025-04-24T19:59:11.617753,0.0105,0.1551,0.987
2025-04-24T19:59:11.669155,0.0078,0.1543,0.9876
2025-04-24T19:59:11.721074,0.0097,0.155,0.9859
2025-04-24T19:59:11.770202,0.0101,0.1553,0.9875
2025-04-24T19:59:11.823129,0.0082,0.1543,0.9884
2025-04-24T19:59:11.872644,0.0098,0.1544,0.989
2025-04-24T19:59:11.926259,0.0102,0.1561,0.9897
2025-04-24T19:59:11.974234,0.0085,0.1543,0.9871
2025-04-24T19:59:12.028618,0.0103,0.1553,0.9866
2025-04-24T19:59:12.076096,0.0091,0.1544,0.9867
2025-04-24T19:59:12.130329,0.0096,0.155,0.9867
2025-04-24T19:59:12.189746,0.0099,0.1551,0.9884
2025-04-24T19:59:12.229056,0.0075,0.1549,0.9899
2025-04-24T19:59:12.280145,0.0108,0.1543,0.9884
2025-04-24T19:59:12.335444,0.0092,0.1555,0.9864
2025-04-24T19:59:12.390427,0.0076,0.1555,0.9866
2025-04-24T19:59:12.437434,0.0105,0.1549,0.9872
2025-04-24T19:59:12.488641,0.0089,0.1551,0.9869
2025-04-24T19:59:12.536370,0.0087,0.1549,0.9884
2025-04-24T19:59:12.586444,0.0104,0.1549,0.9889
2025-04-24T19:59:12.637366,0.0084,0.1554,0.9884
2025-04-24T19:59:12.690340,0.0096,0.1552,0.9883
2025-04-24T19:59:12.739967,0.0096,0.1549,0.9878
2025-04-24T19:59:12.791511,0.0075,0.1552,0.9872
2025-04-24T19:59:12.841746,0.0107,0.155,0.9863
2025-04-24T19:59:12.893535,0.0088,0.1546,0.9909
2025-04-24T19:59:12.943400,0.0093,0.1556,0.9877
2025-04-24T19:59:12.996394,0.0105,0.1563,0.9859
2025-04-24T19:59:13.046313,0.0078,0.1547,0.9884
2025-04-24T19:59:13.097101,0.0096,0.1549,0.9869
2025-04-24T19:59:13.149685,0.0097,0.1558,0.9883
2025-04-24T19:59:13.202751,0.0084,0.1548,0.9885
2025-04-24T19:59:13.250266,0.0109,0.1546,0.9879
2025-04-24T19:59:13.300152,0.0089,0.1556,0.9887
2025-04-24T19:59:13.355538,0.009,0.1549,0.987
2025-04-24T19:59:13.404389,0.01,0.1546,0.9873
2025-04-24T19:59:13.456410,0.0087,0.155,0.9899
2025-04-24T19:59:13.505185,0.0102,0.1546,0.9893
2025-04-24T19:59:13.557479,0.0091,0.1553,0.9882
2025-04-24T19:59:13.605968,0.0082,0.1546,0.9882
2025-04-24T19:59:13.659699,0.0104,0.1549,0.9878
2025-04-24T19:59:13.708151,0.0092,0.1553,0.9874
2025-04-24T19:59:13.759584,0.0082,0.1544,0.9885
2025-04-24T19:59:13.810761,0.0104,0.1549,0.9875
2025-04-24T19:59:13.865522,0.008,0.1549,0.9887
2025-04-24T19:59:13.912120,0.01,0.1552,0.9883
2025-04-24T19:59:13.964103,0.0097,0.1556,0.9886
2025-04-24T19:59:14.014461,0.0079,0.1551,0.9895
2025-04-24T19:59:14.065140,0.0098,0.1558,0.9862
2025-04-24T19:59:14.121725,0.0092,0.155,0.9877
2025-04-24T19:59:14.167152,0.0087,0.1548,0.9887
2025-04-24T19:59:14.219233,0.0108,0.155,0.987
2025-04-24T19:59:14.276886,0.0093,0.1551,0.9889
2025-04-24T19:59:14.325397,0.0097,0.1547,0.9869
2025-04-24T19:59:14.376822,0.0082,0.1545,0.9859
2025-04-24T19:59:14.422908,0.0089,0.1549,0.9868
2025-04-24T19:59:14.473244,0.0108,0.1554,0.9881
2025-04-24T19:59:14.527427,0.0202,0.0476,1.0629
2025-04-24T19:59:14.575996,-0.0091,0.2125,1.278
2025-04-24T19:59:14.628036,-0.0116,0.2253,1.3974
2025-04-24T19:59:14.677207,0.0805,0.0676,0.7363
2025-04-24T19:59:14.730648,0.0898,-0.0497,0.1224
2025-04-24T19:59:14.780082,-0.6069,-0.3815,0.2281
2025-04-24T19:59:14.839086,0.2032,-0.1333,1.3916
2025-04-24T19:59:14.881163,-0.0355,0.0826,0.2034
